spp,trapDay,ppt_1_1,ppt_2_1,ppt_15_1
0,16077,0,0,0
0,16084,0,0,0
0,16098,0,0,5.83E-07
0,16105,3.59E-05,0,0
0,16112,0,0,0
0,16126,0,1.36E-10,0
0,16133,0,0,0
0,16140,0,0,0
0,16147,0.000689713,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,0,0,1.40E-06
0,16175,1.92E-09,3.14E-09,0
0,16182,0,3.83E-09,0
0,16189,1.92E-09,1.92E-09,1.89E-09
0,16196,3.83E-09,3.83E-09,3.83E-09
0,16210,0,0,1.92E-09
0,16224,0,0,0
0,16231,0,0,0
0,16238,0,0,0
0,16245,0,0,0
0,16252,0,0,0
0,16259,0.023692698,0.004882629,3.02E-06
0,16273,0,0,0.001846676
0,16280,0,0,0.004136763
0,16287,0,0.000567869,0
0,16289,0.050283685,0,0.000593274
0,16294,0,0,0
0,16296,0.003580312,0.16233771,0
0,16323,0.129306878,0,0.000987546
0,16329,0,0,1.02E-05
0,16336,0,0,0
0,16339,0,1.10E-05,0
0,16350,7.26E-06,0,0
0,16357,0.000371716,9.47E-05,0
4,16364,0,0,0
0,16371,0,0,0
0,16378,0,0,0
0,16380,0,0,0
0,16387,0,0,0
0,16392,0,0,0
0,16406,0,0,0
0,16409,0,0.620776364,0
0,16415,0,0,0
0,16077,0,0,2.41E-06
0,16084,0,0,0
0,16098,0,0,4.70E-08
0,16105,1.69E-05,0,0
0,16112,0,0,4.37E-08
0,16126,0,2.32E-11,0
0,16133,0,0,0
0,16140,0,0,0
0,16147,0.000755157,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,2.41E-06,0,2.03E-06
0,16175,0,1.72E-11,0
0,16182,0,0,0
0,16189,0,0,0
0,16196,0,0,0
0,16210,0,0,0
0,16224,0,0,0
0,16231,0,0,0
0,16238,0,0,0
0,16245,0,0,0
0,16252,0,0,0
0,16259,0.02174193,0.003836006,1.39E-06
0,16273,0,0,0.003739529
0,16280,0,0,0.003936907
0,16287,0,0.000559614,0
0,16289,0.0500353,0,0.000931622
0,16294,0,0.000540518,0
0,16296,0.003511499,0.158597454,0
0,16324,0,0.000265709,0.000303798
3,16329,0,0,1.59E-06
3,16336,0,0,0
0,16339,0,5.93E-07,0
0,16350,1.73E-06,0,0
0,16357,0.000388812,1.00E-04,0
4,16364,0,0,0
3,16371,0,0,0
0,16378,0,0,0
0,16380,0,0,0
0,16387,0,0,0
1,16392,0,0,0
0,16406,0,0,0
0,16409,0,0.616874372,0
0,16415,0,0,0
0,16077,0,0,1.31E-06
0,16084,0,0,0
0,16098,0,0,0
0,16105,5.81E-05,0,0
0,16112,0,0,3.83E-08
0,16126,0,0,0
0,16133,0.00021833,0,0
0,16140,0,0,0
0,16147,0.000634904,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,1.31E-06,0,2.17E-06
0,16175,0,0,0
0,16182,2.52E-05,0,0
0,16189,0,0,0
0,16196,0,0,0
0,16210,0,0,0
0,16224,0,0,0
0,16231,0,0,0
0,16238,0,0,0
0,16245,0,0,0
0,16252,0,0,0
0,16259,0.01736973,0.002300783,7.16E-08
0,16280,0.000464595,0,0.002074475
0,16287,0,0.000577509,0
0,16294,0,0.001396305,0
0,16296,0.003191662,0.143668476,0
0,16303,0,0,0
0,16324,0,0.000502666,0.000302636
0,16329,0,0,0
0,16336,0,0,0
0,16339,0,8.63E-07,0
0,16350,0,0,0
0,16357,0.000361748,0.000111364,0
1,16364,0,0,0
10,16371,0,0,0
0,16378,0,0,0
0,16380,0,0,0
0,16387,0,0,0
0,16392,0,0,0
0,16406,0,0,0
0,16409,0,0.604031353,0
0,16415,0,0,0
0,16077,0,0,0
0,16084,0,0,0
0,16098,0,0,2.76E-07
0,16105,0.000305696,0,0
0,16112,0,0,0
0,16133,0,0,0
0,16140,0,0,0
0,16147,0,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16077,0,0,6.67E-06
0,16084,0,0,0
0,16098,0,0,3.56E-07
0,16105,0.000146697,0,0
0,16112,0,0,7.58E-09
0,16126,0,5.78E-12,0
0,16133,0,0,0
0,16140,0,0,0
0,16147,0.000386529,0,0
0,16154,0,0,0
0,16161,0,0,0
2,16168,6.67E-06,0,2.72E-06
0,16175,0,0,0
0,16182,5.32E-05,0,0
0,16189,0,0,0
4,16196,0,0,0
1,16210,0,0,0
0,16224,0,0,0
3,16231,0,0,0
0,16238,0,0,0
0,16245,0,0,0
0,16252,0,0,0
0,16259,0.018794123,0.00238704,2.62E-09
0,16273,0,0,0.013248959
0,16280,0,0,0.000623487
0,16287,0.002659608,0.000670015,0
0,16077,0,0,6.13E-06
0,16084,0,0,0
0,16098,0,0,3.73E-07
0,16105,0.000181377,0,0
0,16112,0,0,0
0,16126,0,5.48E-12,0
0,16133,0,0,0
0,16140,0,0,0
0,16147,0.000275742,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,6.13E-06,0,2.98E-06
0,16175,0,0,0
0,16182,5.02E-05,0,0
0,16189,0,0,0
0,16210,0,0,0
0,16224,0,0,0
0,16231,0,0,0
0,16238,0,0,0
0,16245,0,0,0
0,16252,0,0,0
0,16259,0.017995753,0.001674422,0
0,16273,0,0,0.022549939
0,16280,0,0,0
0,16287,0.00244367,0.000690478,0
0,16289,0.049503743,0,0
0,16294,0,0.010010492,5.08E-05
0,16296,0.004091487,0.15891198,0.006065757
0,16323,0.039688485,0.001182398,0.001490781
0,16329,0,0,0
0,16336,0,0,0.001182398
0,16339,0,0,0
0,16350,0,0,0
0,16357,0.000256362,0.000117378,0
0,16364,0,0,0
0,16371,0,0,0
0,16378,0,0,0
2,16380,0,0,0
3,16387,0,0,0
0,16392,0,0,0
0,16406,0,0,0
0,16409,0,0.619204779,0
0,16415,0,0,0
0,16077,0,0,1.08E-05
0,16084,0,0,0
0,16098,0,0,3.91E-07
0,16105,0.000206681,0,0
0,16112,0,0,1.28E-07
0,16126,0,2.17E-12,0
0,16133,0,0,0
0,16140,0,0,0
0,16147,0.000227296,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,1.08E-05,0,3.29E-06
0,16175,0,0,0
0,16182,6.95E-05,0,0
0,16189,0,0,0
0,16210,0,0,0
0,16224,0,0,0
0,16231,0,0,0
0,16238,0,0,0
0,16245,0,0,0
0,16252,0,0,0
0,16259,0.022726977,0.003210603,4.78E-08
0,16273,0,0,0.019984409
0,16280,0,0,0.000656992
0,16287,0.01319541,0.000717366,0
0,16289,0.047398359,0,0
0,16294,0,0.007248404,0.000103612
0,16296,0.005116444,0.188224609,0.00652815
0,16323,0.06882786,0.004152438,0.0018585
0,16329,0,0.000146853,0
0,16336,1.01E-05,0,0.004152438
0,16339,0,0,0
0,16350,0,0,0
6,16357,0.00022624,0.00010255,0
0,16364,0,0,0
2,16371,0,0,0
0,16378,0,0,0
1,16380,0,0,0
0,16387,0,0,0
0,16392,0,0,0
0,16406,0,0,0
0,16409,0,0.636241565,0
0,16415,0,0,0
0,16077,0,0,1.89E-05
0,16084,0,0,0
0,16098,0,0,5.49E-07
0,16105,0.000221471,0,0
0,16112,0,0,3.76E-07
0,16126,0,8.66E-12,0
0,16133,0,0,0
0,16140,0,0,0
0,16147,0.0001962,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,1.89E-05,0,3.32E-06
0,16175,0,0,0
0,16182,0.000107097,0,0
0,16189,0,0,0
0,16196,0,0,0
0,16210,0,0,0
0,16224,0,0,0
0,16231,0,0,0
0,16238,0,0,0
0,16245,0,0,0
0,16252,0,0,0
0,16259,0.02837576,0.005477174,4.76E-07
1,16273,0,0,0.021076161
0,16280,9.98E-05,0,0.003048506
0,16287,0.037761005,0.000765207,0
0,16289,0.046890064,0,0
0,16294,0,0.005875336,0.000111669
0,16296,0.00559381,0.204073705,0.004201851
0,16323,0.112354293,0.007248507,0.002304298
0,16330,0,0.01202152,0
0,16336,2.93E-05,0,0.007248507
0,16339,0,0,0
0,16350,6.96E-06,0,0
3,16357,0.000213893,9.05E-05,0
0,16364,0,0,0
1,16371,0,0,0
3,16378,0,0,0
6,16380,0,0,0
3,16387,0,0,0
0,16392,0,0,0
0,16406,0,0,0
0,16409,0,0.655604203,0
0,16415,0,0,0
0,16077,0,0,1.78E-06
0,16084,0,0,0
0,16098,0,0,0
0,16115,0,0,0
0,16122,0,0,0.001925407
0,16129,0,0,0
0,16133,3.93E-05,0.004229518,0
0,16140,0,0,0
0,16147,0,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,1.78E-06,0,5.11E-07
0,16182,6.29E-06,0,0
0,16189,0,0,0
0,16192,0,0,6.29E-06
0,16197,0,0,0
0,16204,0,0,0
0,16211,0,0,0
0,16225,0,0,0
0,16232,0,0,0
0,16239,0,0,0
0,16246,0,3.77E-08,0
0,16253,0,0,0
0,16260,0.015314588,0,0
0,16267,0,0.007548995,0
0,16274,0,0,0.001338108
0,16281,0.112687475,0,0
0,16288,0.145445972,0,0.009366479
0,16295,4.46E-06,0.526248621,0
0,16302,0,1.105184136,0
0,16309,7.67E-06,0.000310137,0.037892292
0,16317,0,0,0.064911379
1,16323,0.414328957,0.179669054,0
0,16330,0,0,0
0,16337,0.000800759,0,0.000303936
0,16344,0.541712352,0,0.005794832
1,16346,0,0,0
1,16350,5.21E-06,0,0
0,16366,0.022054328,0,0.167662959
1,16372,0,0,0
0,16379,8.46E-05,0,0
0,16381,0,0,0
0,16388,0,0,0
0,16393,0,0,0
0,16395,0,0,0
0,16407,0,0.000916169,0
0,16416,0,0,0
0,16423,0.000769015,0,0.000765117
0,16077,0,0,0
0,16084,0,0,0
0,16077,0,0,0
0,16084,0,0,0
0,16098,0,0,0
0,16115,0,0,0
0,16122,0,0,0.001144237
0,16129,3.07E-11,0,0
0,16133,0,0.005304802,0
0,16140,0,0,0
0,16147,0,0,0
0,16154,0,0,0
0,16161,0,0,0
0,16168,0,0,1.94E-06
0,16182,0,1.34E-07,0
0,16189,6.68E-08,6.68E-08,6.86E-08
0,16192,6.68E-08,1.34E-07,0
0,16197,6.68E-08,6.68E-08,6.68E-08
0,16204,1.25E-07,1.46E-07,6.86E-08
0,16211,0,0,1.34E-07
0,16225,0,0,0
0,16232,0,0,0
0,16239,0,0,0
0,16246,0,2.54E-08,0
0,16077,0,0,0
0,16084,0,0,0
0,16098,0,0,0
0,16115,0,0,0.000398226
0,16122,0,0,0.000140208
0,16136,0.006406698,0,0
0,16143,0,0,0
0,16157,0,0,0
0,16164,0,2.26E-05,0
0,16171,0,0,0
0,16178,0,0,0
0,16185,0,0,0
0,16191,0,0,0
0,16198,0,0,0
0,16205,0,3.84E-07,0
0,16212,0,0,0
0,16219,0,0,0
0,16226,0,0,8.93E-08
0,16233,0,0,0
0,16240,0,0,0
0,16247,0,0,0
0,16254,0,0,0
0,16261,0.078619224,0.004500615,0
0,16268,0.207164702,0,0.080046127
0,16275,0,0.051570476,0
0,16282,0.023387303,0,0
0,16290,0.002346688,0,0
0,16297,0.204393483,0,0.201719889
0,16304,0.007617807,0.058399124,0
0,16318,0,0,6.24E-06
0,16325,1.62904371,0,0
0,16332,0.008191242,0,0
0,16339,0,5.37E-06,0
0,16345,0.124642253,0,0
0,16367,7.00E-06,0,0.000168571
0,16374,0,0,0
0,16381,0,0,0
0,16388,0,0,0
0,16395,0,0,0
0,16409,0,0.770732013,0
0,16415,0,0,0
0,16422,0.000346554,0.138816289,0.770732013
0,16077,0,0,8.75E-07
0,16084,0,0,0
0,16077,0,0,0
0,16084,0,0,0
0,16098,0,0,0
0,16115,0,0,0.000614717
0,16122,0,0,0.000168636
0,16129,0,0,0
